City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hobyo,SO,79.36,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
8,Kimbe,PG,76.24,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
17,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
18,Mitsamiouli,KM,88.09,few clouds,-11.3847,43.2844,Foyer ADM
23,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
32,Rikitea,PF,77.22,overcast clouds,-23.1203,-134.9692,People ThankYou
34,Faanui,PF,78.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Omboue,GA,80.24,broken clouds,-1.5746,9.2618,Hotel Olako
45,Atuona,PF,78.13,light rain,-9.8,-139.0333,Villa Enata
46,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
54,Homestead,US,82.02,scattered clouds,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
55,Butaritari,KI,80.4,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
56,General Pico,AR,89.47,clear sky,-35.6566,-63.7568,Euskadi Hotel
70,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
75,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
77,Nueva Helvecia,UY,89.15,few clouds,-34.3,-57.2333,La Posada de Ofelia
78,Bonthe,SL,88.38,broken clouds,7.5264,-12.505,Bonthe Holiday Village
80,Saint-Pierre,RE,82.29,few clouds,-21.3393,55.4781,Lindsey Hôtel
82,Mar Del Plata,AR,86.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
85,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
86,Kavieng,PG,81.09,moderate rain,-2.5744,150.7967,Nusa Island Retreat
88,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Kruisfontein,ZA,75.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
90,Carutapera,BR,85.89,scattered clouds,-1.195,-46.02,Lidera
