City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint George,US,37.1041,-113.5841,32.79,59,1,6.91,clear sky
1,Hobyo,SO,5.3505,48.5268,79.36,84,55,14.18,broken clouds
2,Kapaa,US,22.0752,-159.319,71.19,84,75,8.05,moderate rain
3,Naqadeh,IR,36.9553,45.388,26.87,77,19,4.32,few clouds
4,Mataura,NZ,-46.1927,168.8643,60.48,75,100,0.6,overcast clouds
5,Busselton,AU,-33.65,115.3333,64.09,78,0,16.06,clear sky
6,Fortuna,US,40.5982,-124.1573,53.94,91,90,8.01,light rain
7,Zyryanka,RU,65.75,150.85,-29.06,97,69,9.4,broken clouds
8,Kimbe,PG,-5.5502,150.1429,76.24,94,100,2.13,moderate rain
9,Hobart,AU,-42.8794,147.3294,57.06,74,90,1.01,overcast clouds
10,Pevek,RU,69.7008,170.3133,29.14,73,99,30.27,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,46.06,42,75,27.63,broken clouds
12,Norman Wells,CA,65.282,-126.8329,-32.76,68,75,11.5,broken clouds
13,Longyearbyen,SJ,78.2186,15.6401,4.84,51,73,27.63,broken clouds
14,Launceston,AU,-41.45,147.1667,62.62,79,90,1.01,overcast clouds
15,Japura,ID,-0.3167,102.35,74.28,95,98,2.46,overcast clouds
16,Pisco,PE,-13.7,-76.2167,70.02,83,20,10.36,few clouds
17,Avarua,CK,-21.2078,-159.775,77.05,88,20,6.91,few clouds
18,Mitsamiouli,KM,-11.3847,43.2844,88.09,66,20,9.22,few clouds
19,Severo-Yeniseyskiy,RU,60.3725,93.0408,4.68,96,100,3.98,light snow
20,Albany,US,42.6001,-73.9662,23.16,76,100,1.01,overcast clouds
21,Provideniya,RU,64.3833,-173.3,7.39,98,53,0.92,broken clouds
22,Hamilton,US,39.1834,-84.5333,28.24,71,1,5.01,clear sky
23,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,71,7.76,broken clouds
24,Chokurdakh,RU,70.6333,147.9167,-16.28,99,100,3.33,light snow
25,Punta Arenas,CL,-53.15,-70.9167,46.51,53,75,9.22,broken clouds
26,Sitka,US,57.0531,-135.33,26.49,50,90,11.5,overcast clouds
27,Saint-Georges,GD,12.0564,-61.7485,83.88,70,75,18.41,broken clouds
28,Thompson,CA,55.7435,-97.8558,-25.44,68,90,5.75,overcast clouds
29,Tazovskiy,RU,67.4667,78.7,-18.96,97,100,12.86,overcast clouds
30,Port Shepstone,ZA,-30.7414,30.455,74.3,90,100,12.64,light rain
31,Roald,NO,62.5833,6.1333,36.16,75,40,11.5,scattered clouds
32,Rikitea,PF,-23.1203,-134.9692,77.22,67,87,3.67,overcast clouds
33,Zhangjiakou,CN,40.81,114.8794,18.82,41,0,3.53,clear sky
