City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Keats,AU,2021-12-28 15:15:55,-14.25,129.55,82.98,84,98,12.95
1,Rumonge,BI,2021-12-28 15:15:55,-3.9736,29.4386,76.95,82,100,3.27
2,Vaini,TO,2021-12-28 15:13:18,-21.2,-175.2,75.36,94,40,0.0
3,Mangrol,IN,2021-12-28 15:15:56,21.1167,70.1167,72.43,58,28,12.77
4,Ambikapur,IN,2021-12-28 15:15:56,23.1167,83.2,58.06,94,92,8.32
5,Busselton,AU,2021-12-28 15:15:57,-33.65,115.3333,77.09,59,39,7.0
6,Nishihara,JP,2021-12-28 15:15:57,26.1842,127.7558,62.65,72,75,0.0
7,Kuching,MY,2021-12-28 15:15:57,1.55,110.3333,79.02,89,20,2.3
8,Hambantota,LK,2021-12-28 15:15:58,6.1241,81.1185,77.77,74,63,17.69
9,Kahului,US,2021-12-28 15:15:58,20.8947,-156.47,69.96,76,1,5.75
10,Yar-Sale,RU,2021-12-28 15:15:59,66.8333,70.8333,-11.45,100,52,7.85
11,North Bend,US,2021-12-28 15:15:59,43.4065,-124.2243,36.07,100,90,6.91
12,Khuldabad,IN,2021-12-28 15:15:59,20.05,75.1833,64.92,56,7,9.66
13,Faya,SA,2021-12-28 15:16:00,18.3851,42.4509,59.11,58,7,7.14
14,Bull Savanna,JM,2021-12-28 15:16:00,17.8868,-77.5902,78.17,58,66,5.37
15,Sola,VU,2021-12-28 15:16:01,-13.8833,167.55,81.88,78,100,5.79
16,Kapustin Yar,RU,2021-12-28 15:16:01,48.5831,45.7372,18.57,83,100,10.78
17,Ribeira Grande,PT,2021-12-28 15:16:02,38.5167,-28.7,64.8,94,75,29.93
18,Ca Mau,VN,2021-12-28 15:16:02,9.1769,105.15,75.97,85,59,6.93
19,Mataura,NZ,2021-12-28 15:14:28,-46.1927,168.8643,50.49,97,100,2.24
20,Araouane,ML,2021-12-28 15:16:02,18.9048,-3.5265,81.41,13,100,15.1
21,Grand Gaube,MU,2021-12-28 15:16:03,-20.0064,57.6608,79.38,78,100,5.99
22,Ixtapa,MX,2021-12-28 15:16:03,20.7,-105.2,73.22,78,40,3.44
23,Edd,ER,2021-12-28 15:16:04,13.9297,41.6925,83.71,56,5,22.08
24,Cape Town,ZA,2021-12-28 15:11:20,-33.9258,18.4232,73.11,53,90,5.01
25,Cam Ranh,VN,2021-12-28 15:16:04,11.9214,109.1591,73.36,94,75,19.57
26,Khatanga,RU,2021-12-28 15:16:05,71.9667,102.5,-16.47,93,7,7.16
27,Esperance,AU,2021-12-28 15:16:05,-33.8667,121.9,61.5,80,7,19.44
28,Santa Rosa,PH,2021-12-28 15:16:05,14.3122,121.1114,78.78,74,56,15.48
